symbol,adtv
A,1356346
AA,5900756
AAC,545593
AAL,27215206
AAP,1182130
AAPL,76766186
ABB,1466026
ABBV,5876646
ABC,1415237
ABCL,1834674
ABCM,586978
ABEV,27198813
ABNB,6105717
ABR,2553238
ABT,5400722
ABUS,946942
ACAD,1416995
ACB,9619650
ACCD,675310
ACCO,647082
ACET,641535
ACGL,3001658
ACHC,603388
ACHR,1619012
ACI,4470863
ACIW,954717
ACLS,507806
ACLX,508503
ACM,915995
ACMR,946788
ACN,2290566
ACOR,2079704
ACRE,747965
ACRS,712414
ACVA,1140164
ADAP,532138
ADBE,3271956
ADC,963666
ADCT,685298
ADEA,670200
ADI,3554430
ADM,2984129
ADMA,2869095
ADMP,1543326
ADN,802040
ADNT,835414
ADP,1890206
ADPT,981671
ADSK,1517689
ADT,3918464
ADTN,544557
ADTX,723890
ADV,525894
AEE,1405760
AEG,2378905
AEHR,1693656
AEL,678271
AEM,3058323
AEMD,602155
AEO,4408584
AEP,3148673
AER,1082995
AES,4274104
AEVA,1319010
AFL,2692543
AFMD,1639293
AFRM,16770766
AG,7144358
AGCO,648149
AGEN,4733453
AGFY,1807295
AGI,3660632
AGIO,516642
AGL,2135423
AGLE,1132126
AGNC,13561167
AGR,607069
AGRO,585142
AGRX,801688
AHCO,951392
AI,10189567
AIG,5072140
AIMD,794708
AIRC,911621
AIV,1187051
AIZ,504326
AJG,891264
AJRD,1075722
AKAM,1622877
AKBA,1893586
AKR,630721
AKRO,706019
AKTS,624048
AL,506332
ALB,1571161
ALC,1004933
ALEC,549829
ALGM,1305284
ALGN,1060075
ALHC,800151
ALIT,2931880
ALK,1473535
ALKS,1498280
ALL,1879689
ALLE,711341
ALLK,1040754
ALLO,1852994
ALLY,6339121
ALNY,841799
ALPP,538270
ALSN,822083
ALT,1615750
ALTO,915090
ALV,964522
AM,2888514
AMAM,4044469
AMAT,7432793
AMBA,534188
AMBP,1681865
AMC,31112089
AMCR,7883753
AMD,69613839
AME,1039693
AMGN,2663596
AMH,2266664
AMKR,1020326
AMLX,984713
AMN,722763
AMP,607070
AMPL,536021
AMPS,1023463
AMPX,542578
AMPY,565034
AMRN,3815932
AMRS,5666665
AMRX,1116393
AMT,2069662
AMTD,820130
AMTX,616987
AMV,1884478
AMWL,1456580
AMX,1817159
AMZN,74265458
AN,887559
ANET,2413139
ANF,1679430
ANGI,1298807
ANSS,575766
ANY,873016
AON,821650
AOS,1170260
APA,6653423
APAM,554753
APD,1122470
APDN,1403001
APE,27011598
APEN,1084575
APG,944226
APGN,1099783
APH,2354048
API,794823
APLD,761281
APLE,1636447
APLS,1539500
APO,2761150
APP,3146969
APPH,2795648
APPS,2586704
APRN,6200671
APTV,1871000
APTX,1689546
AQN,5892002
AQUA,1157292
AR,6756971
ARBE,548480
ARCC,3086955
ARCO,830924
ARCT,501736
ARDS,847985
ARDX,8634275
ARE,947554
AREB,1407246
ARES,1226648
ARHS,809132
ARI,1179965
ARLO,884477
ARLP,515125
ARMK,3066657
ARNC,946702
AROC,947158
ARQQ,1408553
ARQT,864552
ARR,6073559
ARRY,4323859
ARVL,11419027
ARWR,995093
ASAN,3683766
ASB,1553609
ASC,884419
ASML,1200606
ASO,1522430
ASPN,910294
ASPU,528686
ASRT,1345894
ASTL,1237744
ASTR,2118750
ASTS,1679931
ASX,7397148
ASXC,1291904
ATAI,1216828
ATEC,907424
ATEN,647738
ATER,1946375
ATHM,649658
ATHX,550842
ATI,1303331
ATIP,523628
ATNF,2187322
ATO,865437
ATRA,1316874
ATUS,5535250
ATVI,6497319
ATXG,522104
ATXI,2103549
AU,3149486
AUD,1079978
AULT,5809235
AUPH,2953790
AUR,2075030
AUTL,544188
AUVI,1295434
AUY,16957471
AVA,813019
AVB,851517
AVDL,636501
AVDX,1610310
AVGO,2324214
AVNT,594778
AVPT,520873
AVRO,824773
AVT,655862
AVTR,6619256
AVXL,1700724
AVY,517753
AWIN,818923
AWK,1047416
AXL,1210126
AXLA,894297
AXNX,636773
AXON,654570
AXP,3340099
AXS,571490
AXSM,1189371
AXTA,2432210
AY,629973
AYX,1071206
AZEK,1900577
AZN,5194184
AZTA,989990
AZUL,3099095
BA,6924690
BABA,24910180
BAC,48373418
BAH,1075607
BAK,521516
BALL,1875424
BAM,1803243
BAND,775956
BARK,1168301
BAX,5518634
BB,6640294
BBAI,4774762
BBAR,658270
BBBY,42906916
BBD,39201116
BBIG,6538470
BBIO,2182235
BBVA,1695554
BBWI,3520902
BBY,2732498
BC,596303
BCAB,644611
BCE,1465056
BCRX,2858877
BCS,7215458
BDN,2556825
BDX,1287049
BE,2487685
BEAM,869053
BEAT,569957
BEKE,11892032
BEN,3697456
BEPC,740603
BERY,936300
BFH,947919
BFLY,1937232
BG,1565564
BGCP,1645638
BGRY,1142794
BGS,1291626
BGXX,2380212
BHC,5046244
BHF,515216
BHG,2241903
BHIL,566584
BHP,3289471
BHR,500365
BHVN,1448370
BIAF,700504
BIDU,3837893
BIG,1199989
BIGC,1212826
BIGZ,1310504
BIIB,1204256
BILI,9827487
BILL,2386681
BIOR,1205966
BIRD,1989090
BITF,3683001
BIVI,762778
BJ,1604528
BK,5504438
BKD,2935380
BKI,1033350
BKKT,2365998
BKR,7579948
BKSY,703065
BKU,807463
BLDP,3092644
BLDR,1908992
BLK,792170
BLMN,1569104
BLND,1865184
BLNK,1672005
BLPH,1127238
BLU,595705
BLUE,3976449
BMBL,2225604
BMO,647395
BMRN,1496838
BMY,8629194
BN,3222949
BNED,547347
BNGO,7028194
BNL,916493
BNS,1846088
BNTX,818161
BOOT,702536
BORR,1522398
BOWL,1054609
BOX,1424718
BOXD,6124420
BOXL,686609
BP,9604248
BPMC,635928
BPOP,679318
BR,592432
BRBR,936988
BRCC,515505
BRDS,7235185
BRFS,5634385
BRKL,575847
BRKR,673877
BRMK,1686731
BRO,1242382
BROS,1191381
BRQS,2141757
BRSP,964390
BRX,2473574
BRY,724395
BSAC,599140
BSBR,1701702
BSFC,1602265
BSM,787874
BSX,7207593
BSY,793071
BTB,953096
BTBT,1655985
BTG,10149174
BTI,3424962
BTU,4563139
BUD,1417526
BURL,1170132
BVN,1278248
BVS,895750
BWA,2003958
BWACW,502180
BWEN,821198
BWV,1146818
BWXT,532795
BX,5338064
BXMT,2326634
BXP,1706093
BXRX,1263837
BXSL,867001
BYD,905048
BYND,2744862
BYSI,592902
BZ,2788094
BZFD,6225119
BZUN,812969
C,19157058
CABA,974478
CADE,1401714
CAG,4070258
CAH,2834569
CAKE,1024854
CAL,627289
CALM,945698
CALX,634827
CAN,1949935
CANO,10351381
CAR,713594
CARG,1501853
CARR,4302344
CAT,3265501
CB,1776478
CBAY,1113649
CBD,1150501
CBIO,931532
CBOE,729975
CBRE,1607943
CC,1291796
CCCC,507395
CCCS,878697
CCEP,1150898
CCI,2268556
CCJ,5351690
CCK,1338892
CCL,50273259
CCO,2380931
CCRN,734915
CD,1504170
CDAK,554811
CDAY,1416149
CDE,5548795
CDIO,2039685
CDLX,805386
CDMO,630863
CDNA,1222592
CDNS,1765749
CDTX,1913306
CDW,717762
CDXS,734802
CE,1111097
CEG,2023701
CEI,1550078
CEIX,829027
CELH,990338
CELZ,1529870
CEMI,604625
CENN,4542648
CENX,2029515
CEQP,558881
CERE,585462
CERS,1407828
CERT,1030625
CF,2755116
CFFN,847740
CFG,4986381
CFLT,3240130
CG,3298075
CGC,11977044
CGEN,668831
CGNT,884054
CGNX,827674
CHD,1461155
CHGG,2176377
CHK,1760737
CHKP,827250
CHPT,8999152
CHRD,526423
CHRS,1145131
CHRW,1467770
CHS,2322590
CHTR,1348039
CHWY,4135379
CHX,1811854
CI,1789905
CIDM,667149
CIEN,1779993
CIFR,1069415
CIG,6711614
CIM,2301248
CINF,744006
CISO,1578908
CIVI,731759
CL,4151314
CLF,11889280
CLM,1555535
CLNE,2485095
CLNN,714040
CLOV,7090891
CLRO,669228
CLSK,3606885
CLVT,6769698
CLX,1161580
CLXT,1176260
CM,1126448
CMA,2414277
CMAX,558093
CMC,1106577
CMCSA,23012903
CME,2004182
CMI,1005723
CMRE,629172
CMRX,897007
CMS,1997443
CNC,3717898
CNDT,876400
CNEY,992700
CNHI,4394118
CNI,1079018
CNK,3339372
CNM,773821
CNO,852942
CNP,3966277
CNQ,2298519
CNTX,1066998
CNX,3173081
CNXA,1075908
COF,3188469
COGT,697313
COHR,1421719
COIN,17220174
COLB,1869678
COLD,1479969
COMM,2857994
COMP,3159624
COMS,820384
COOK,602023
COOP,623574
COP,6720796
CORT,741038
COSM,32038797
COST,2096128
COTY,6000608
COUR,795857
CP,1942798
CPB,2448979
CPE,1391709
CPG,8238124
CPNG,7798307
CPRI,2266017
CPRT,2019786
CPRX,2267768
CPT,906343
CRBG,1577560
CRBU,530542
CRC,724200
CRDO,1752376
CRF,791317
CRH,633102
CRI,695616
CRIS,658059
CRK,4466355
CRKN,4958846
CRL,600060
CRM,9003164
CRON,1846610
CROX,1653777
CRSP,1062728
CRSR,536972
CRUS,533058
CRWD,4900031
CS,34731847
CSCO,18844351
CSGP,2404423
CSII,541748
CSIQ,1060468
CSTM,997891
CSX,14421851
CTIC,3197675
CTKB,628837
CTLP,512560
CTLT,2729011
CTMX,2032870
CTRA,9438415
CTRE,639490
CTRM,1013318
CTSH,4448798
CTVA,3348431
CTXR,659645
CUBE,2234938
CUBI,569741
CUK,2316862
CUZ,1489502
CVAC,821790
CVBF,837858
CVE,7070586
CVI,864927
CVII,615642
CVNA,23656610
CVS,7651921
CVT,1014719
CVX,8425106
CWAN,525860
CWEN,648442
CWH,1049556
CWK,2287756
CX,5434610
CXM,738431
CXW,1062319
CYAD,871225
CYBN,1328777
CYH,2635793
CYTK,1064649
CYXT,659201
CZR,3583888
D,5432040
DADA,1750344
DAL,10077849
DAN,1137165
DAR,1593226
DASH,5193711
DAWN,574230
DB,5190675
DBD,2472229
DBGI,1573407
DBI,1762040
DBRG,1730214
DBX,2880072
DCFC,2263565
DCGO,753059
DCP,1261156
DCPH,689017
DD,3115003
DDD,1298719
DDL,890706
DDOG,4893983
DE,1511531
DEA,942643
DEI,2173003
DELL,3506888
DEN,676314
DENN,663412
DFS,2210717
DG,1969361
DGX,1149353
DH,791409
DHC,4051004
DHI,2919014
DHR,2635535
DHT,2425860
DICE,686315
DINO,2300160
DIS,12734623
DISH,5470217
DK,1472116
DKNG,16080000
DKS,1513277
DLO,2718222
DLR,2185960
DLTR,2259906
DM,3860639
DMTK,629911
DNA,22578485
DNB,2310215
DNLI,743041
DNMR,1328939
DNN,4734616
DNOW,692770
DNUT,944529
DO,1089111
DOC,1878099
DOCN,1460045
DOCS,1907160
DOCU,5181105
DOMA,746537
DOMO,620681
DOV,910036
DOW,5301906
DOX,628165
DOYU,1216277
DPRO,505973
DPZ,746192
DQ,1275379
DRH,1991531
DRI,1233407
DRS,698217
DRVN,552183
DSEY,1615131
DSX,725181
DT,2427323
DTE,1480099
DTIL,615191
DTM,620756
DUK,3170298
DUO,634809
DV,1416736
DVA,759981
DVAX,1648686
DVN,10285432
DWAC,1439130
DX,1152049
DXC,1892780
DXCM,2690144
DXLG,691374
EA,2188188
EAF,1832023
EAT,994044
EB,974023
EBAY,5433058
EBC,905948
EBET,1477502
EBR,2085162
EBS,1227033
EC,2289927
ECL,1310356
ECVT,774435
ED,1833863
EDIT,1745790
EDR,1561944
EDU,2428961
EFC,833143
EFX,913594
EGHT,1989918
EGIO,1028812
EGO,1829095
EGY,1934381
EH,1444156
EHAB,631638
EHC,771449
EHTH,761756
EIGR,783723
EIX,2007822
EJH,1692561
EL,1737627
ELAN,7353469
ELF,808039
ELP,597431
ELS,881652
ELV,1118223
ELYS,2282639
EMBC,731865
EMN,1012935
EMR,3569174
ENB,3768631
ENLC,2335747
ENPH,4029516
ENR,529900
ENSC,1741784
ENTG,1775764
ENVX,4326802
EOG,3845565
EOSE,2443423
EPD,5137369
EPIX,1811609
EPR,515361
EPRT,918165
EQC,1132079
EQH,2707803
EQNR,3348773
EQR,2236135
EQRX,2910119
EQT,6829981
EQX,2364986
ERAS,1005734
ERF,1392673
ERIC,10489903
ERJ,1483790
ES,1722875
ESI,1249481
ESMT,536473
ESPR,2823294
ESRT,1308423
ESS,561468
ESTC,1358081
ESTE,1570405
ET,14852315
ETN,1909786
ETNB,1491589
ETR,1368636
ETRN,4115836
ETSY,3288193
ETWO,1667027
EUDA,678406
EURN,2043319
EVA,621141
EVGO,2272359
EVH,1056244
EVLV,634012
EVRG,1771525
EVRI,651435
EW,4355828
EWBC,1175137
EXAS,2415900
EXC,7877888
EXEL,2776351
EXG,643935
EXK,2368885
EXPD,1497082
EXPE,2579677
EXPI,989862
EXPR,2450498
EXR,1015932
EXTR,1278839
EYE,979602
EZPW,651355
F,62986407
FAF,679504
FANG,2528737
FAST,3432068
FATE,2810347
FAX,992599
FAZE,983016
FBIN,1639491
FBP,1468384
FCEL,10539793
FCF,622379
FCX,13576743
FDX,2615159
FE,3704640
FERG,2010130
FFIE,43922478
FFIN,549085
FFIV,522412
FFWM,587392
FGEN,883698
FHB,651137
FHI,718675
FHN,6733862
FIBK,640152
FIGS,3990880
FINV,865772
FIP,618054
FIS,6830810
FISV,3691617
FITB,6827009
FIVE,816611
FIVN,1502935
FL,2606735
FLEX,4524864
FLGC,1288140
FLNC,1045056
FLNG,526426
FLO,1857754
FLR,1591676
FLS,947611
FLT,613422
FLWS,641211
FLYW,872794
FMC,801959
FMS,1086341
FMX,653714
FNB,2655631
FND,1568167
FNF,1604509
FNGR,1739194
FNKO,925444
FNV,658054
FOCS,773936
FOLD,2236119
FORG,1541802
FORM,564435
FOSL,563562
FOUR,1199394
FOX,1255544
FOXA,2908516
FOXO,1981432
FR,986041
FRC,15592477
FREY,2672439
FRG,549902
FRGE,508642
FRO,4156282
FROG,726460
FRPT,750781
FRSH,1463797
FRT,577250
FRZA,588948
FSK,1117206
FSLR,2806210
FSLY,3955465
FSM,4561017
FSP,1292323
FSR,6101100
FTAI,1071115
FTCH,14068869
FTCI,1239831
FTDR,849821
FTI,6776744
FTNT,5255141
FTS,703154
FTV,1872372
FUBO,11415373
FULC,919755
FULT,1060932
FUTU,2947235
FVRR,604553
FWONK,950663
FXLV,511063
FYBR,1329316
G,864174
GBDC,768615
GCI,1197328
GCT,514467
GD,1098788
GDDY,920002
GDRX,1793051
GDS,1601319
GE,7778234
GEHC,2927060
GEL,517656
GEN,4483443
GENE,1137861
GENI,949310
GEO,2412971
GERN,6489598
GES,737202
GETR,546787
GEVO,6810976
GFI,8400809
GFL,1359323
GFS,1893723
GGAL,623704
GGB,11637798
GGE,512435
GGG,903858
GGN,526530
GH,1750336
GIII,922514
GIL,565685
GILD,7190762
GIS,3671989
GL,571956
GLBE,1214191
GLDD,576754
GLDG,1045597
GLNG,1137727
GLPI,1277126
GLT,705831
GLW,4420227
GLYC,974498
GM,14583098
GMAB,605961
GMDA,787532
GME,5279056
GMED,1013993
GMRE,619283
GNK,995510
GNL,699447
GNLN,507217
GNRC,1819880
GNS,10631840
GNTX,1148649
GNW,3430557
GO,1103791
GOEV,15740176
GOGL,2126744
GOGO,699451
GOL,1610510
GOLD,20098588
GOOG,29551909
GOOGL,35883635
GOOS,1912238
GORO,828789
GOSS,4446131
GOTU,5308140
GOVX,1388791
GPC,1050060
GPK,3094014
GPMT,867258
GPN,2111327
GPRE,910615
GPRO,1558603
GPS,8370281
GRAB,15931102
GREE,1144547
GRFS,1178988
GRMN,965761
GROM,1578223
GROV,1262444
GROY,523132
GRPN,1047020
GRTS,954323
GRWG,1921504
GS,2679584
GSAT,4828504
GSBD,583520
GSK,4819315
GSL,518165
GSM,1626991
GSUN,1968873
GT,4389990
GTE,4123636
GTES,777368
GTHX,1197292
GTLB,2320702
GTLS,850683
GTN,836986
GWH,1427604
GWRE,1007263
GXO,961390
H,824244
HA,1162144
HAIN,977869
HAL,9908600
HALO,1380784
HARP,1247178
HAS,1900792
HASI,772831
HAYW,1694675
HBAN,18802030
HBI,11557019
HBM,2325981
HCA,1314644
HCAT,701259
HCC,625019
HCP,1517048
HCSG,732452
HCTI,1479363
HD,3939073
HDB,1351347
HDSN,589845
HEPS,655025
HES,1880241
HEXO,850257
HGEN,3443285
HGV,857515
HIG,1980598
HILS,1720441
HIMS,2268880
HIMX,1122394
HIVE,1232899
HIW,977240
HKD,2035538
HL,8860739
HLBZ,39750062
HLF,1580398
HLGN,2319374
HLIT,1532060
HLLY,778368
HLMN,1424349
HLN,6244073
HLT,1740637
HLX,1918406
HMC,1122272
HMY,4635048
HNST,1046246
HOG,1596219
HOLX,1600465
HOMB,991152
HON,3101263
HOOD,8674723
HOOK,639751
HOPE,812190
HOTH,763399
HOUS,1653194
HP,1243110
HPCO,2045458
HPE,13951408
HPP,2600305
HPQ,7102555
HQY,830850
HR,2875528
HRB,1621830
HRL,1829781
HRMY,668407
HRTX,2210435
HSAI,614466
HSBC,2691144
HSC,650414
HSCS,1358115
HSDT,650711
HSIC,969959
HST,7351635
HSTO,585869
HSY,1008242
HT,519617
HTGC,1209569
HTGM,836745
HTHT,1614752
HTZ,3370965
HUBB,502925
HUBS,732278
HUDI,717762
HUM,1025070
HUN,2210873
HUT,9263686
HUYA,2003560
HWC,550228
HWM,3020168
HXL,579252
HYFM,772157
HYLN,1126080
HYMC,3479038
HYPR,841003
HYT,631342
HYZN,1120106
HZNP,3190041
IAC,1098569
IAG,5792473
IART,534276
IAUX,746135
IBIO,1878149
IBKR,1177956
IBM,4910728
